Alan Burdette;EVIA;Media Data Preservation Initiative ;Archives of Traditional Music
EVIA;Alan Burdette;Clara Henderson;Ruth Stone;Will Cowan
Media Data Preservation Initiative ;Alan Burdette;Brad Wheeler;Brenda Johnson;Jason Jackson;Laurie Antolivic
Archives of Traditional Music;Alan Burdette
Andrew Albrecht;Wells Library;Institute for Digital Arts & Humanities
Wells Library;Andrew Albrecht;Angela Courtney;Brenda Johnson;Jon Dunn;Julie Hardesty;Meridith Beck Sayre;Michelle Dalmau;Nick Homeda;Rachael Stoeltje;Sheyna Pekala;Will Cowan
Institute for Digital Arts & Humanities;Andrew Albrecht;Clara Henderson;Ellen MacKay;Margaret Dolinsky
Andy Uhrich;Media School;Moving Image Archive
Media School;Andy Uhrich;Norbert Herber;Will Emigh
Moving Image Archive;Andy Uhrich;Rachael Stoeltje
Angela Courtney;Wells Library;Victorian Women Writers Project
Victorian Women Writers Project;Angela Courtney;Michelle Dalmau
Arthur Liou;Fine Arts
Fine Arts;Arthur Liou;Margaret Dolinsky;Peter Williams
Bernie Frischer;Informatics;Virtual World Heritage Laboratory;Digital Applications in Archaeology and Cultural Heritage;Digital Hadrian's Villa
Informatics;Bernie Frischer;Beth Plale;Matthew Brennan
Virtual World Heritage Laboratory;Bernie Frischer;Matthew Brennan
Digital Applications in Archaeology and Cultural Heritage;Bernie Frischer;Tassie Gniady
Digital Hadrian's Villa;Bernie Frischer;Matthew Brennan
Beth Plale;Informatics;Data to Insight Center;Hathi Trust Research Center;Pervasive Technology Institute
Data to Insight Center;Beth Plale
Hathi Trust Research Center;Beth Plale;Colin Allen;Dirk Herr-Hoyman
Pervasive Technology Institute;Beth Plale;Eric Wernert;Margaret Dolinsky
Bill Newman;History & Philosophy of Science;Catapult Center;Chymistry of Isaac Newton
History & Philosophy of Science;Bill Newman;Colin Allen
Catapult Center;Bill Newman;John Walsh;Wally Hooper
Chymistry of Isaac Newton;Bill Newman;John Walsh;Meridith Beck Sayre;Michelle Dalmau;Wally Hooper
Brad Wheeler;Media Data Preservation Initiative ;UITS
UITS;Brad Wheeler;Eric Wernert;Laurie Antolivic;Tassie Gniady
Brenda Johnson;Media Data Preservation Initiative ;Wells Library
Cassidy Sugimoto;Information & Library Science;Cascades, Islands, or Streams?
Information & Library Science;Cassidy Sugimoto;Grace Thomas;Grant Simpson;John Walsh;Katy Borner;Richard Higgins;Stasia Milojevic;Vincent Malic;Ying Ding
Cascades, Islands, or Streams?;Cassidy Sugimoto;Stasia Milojevic;Ying Ding
Clara Henderson;EVIA;Institute for Digital Arts & Humanities;HASTAC
HASTAC;Clara Henderson;Richard Higgins;Tassie Gniady
Colin Allen;Hathi Trust Research Center;History & Philosophy of Science;Indiana Philosophy Ontology
Indiana Philosophy Ontology;Colin Allen;Jaimie Murdock
Dirk Herr-Hoyman;Hathi Trust Research Center
Douglas Parks;Anthropology;American Indian Studies Research Institute
Anthropology;Douglas Parks;Stacie King
American Indian Studies Research Institute;Douglas Parks
Edward Curtis IV;Religious Studies;Muslim American Identities
Religious Studies;Edward Curtis IV
Muslim American Identities;Edward Curtis IV
Ellen MacKay;Institute for Digital Arts & Humanities;English;Dig Arts & Hum
English;Ellen MacKay;Grant Simpson;Justin Hodgson;Richard Higgins;Scot Barnett
Dig Arts & Hum;Ellen MacKay;John Walsh
Eric Wernert;Pervasive Technology Institute;UITS;CyberDH
CyberDH;Eric Wernert;Richard Higgins;Tassie Gniady
Erika Dowell;Lilly Library;War of 1812
Lilly Library;Erika Dowell
War of 1812;Erika Dowell;Julie Hardesty;Will Cowan
Grace Thomas;Information & Library Science;Comic Readership Archive;Petrarchive
Comic Readership Archive;Grace Thomas;John Walsh;Richard Higgins
Petrarchive;Grace Thomas;H. Wayne Storey;John Walsh
Grant Simpson;Information & Library Science;English;Comic Book Markup Language;TEI Boilerplate
Comic Book Markup Language;Grant Simpson;John Walsh
TEI Boilerplate;Grant Simpson;John Walsh;Michelle Dalmau
Guiliano Di Bacco;Music;Thesaurus Musicarum Latinarum
Music;Guiliano Di Bacco
Thesaurus Musicarum Latinarum;Guiliano Di Bacco
H. Wayne Storey;Petrarchive;French and Italian
French and Italian;H. Wayne Storey
Jaimie Murdock;Indiana Philosophy Ontology
Jason Jackson;Media Data Preservation Initiative ;Folklore and Ethnomusicology;Mathers Museum of World Culture
Folklore and Ethnomusicology;Jason Jackson
Mathers Museum of World Culture;Jason Jackson
Jennifer Guiliano;History;Humanities Intensive Learning and Teaching Institute
History;Jennifer Guiliano;Kalani Craig;Konstantin Dierks
Humanities Intensive Learning and Teaching Institute;Jennifer Guiliano
John Walsh;Catapult Center;Chymistry of Isaac Newton;Information & Library Science;Dig Arts & Hum;Comic Readership Archive;Petrarchive;Comic Book Markup Language;TEI Boilerplate;Swinburne Project;ADHO Abstracts
Swinburne Project;John Walsh
ADHO Abstracts;John Walsh;Richard Higgins
Jon Dunn;Wells Library;Variations;Avalon
Variations;Jon Dunn
Avalon;Jon Dunn
Julie Hardesty;Wells Library;War of 1812
Justin Hodgson;English;Digital Rhetorics & Digital Humanities;TheJUMP journal
Digital Rhetorics & Digital Humanities;Justin Hodgson;Scot Barnett
TheJUMP journal;Justin Hodgson
Kalani Craig;History
Katy Borner;Information & Library Science;Cyberinfrastructure for Network Science
Cyberinfrastructure for Network Science;Katy Borner;Scott Weingart
Konstantin Dierks;History;Mapping World History
Mapping World History;Konstantin Dierks;Michelle Dalmau
Laurie Antolivic;Media Data Preservation Initiative ;UITS
Margaret Dolinsky;Institute for Digital Arts & Humanities;Fine Arts;Pervasive Technology Institute
Matthew Brennan;Informatics;Virtual World Heritage Laboratory;Digital Hadrian's Villa
Meridith Beck Sayre;Wells Library;Chymistry of Isaac Newton
Michael Martin;American Studies;Black Film Archive
American Studies;Michael Martin
Black Film Archive;Michael Martin
Michelle Dalmau;Wells Library;Victorian Women Writers Project;Chymistry of Isaac Newton;TEI Boilerplate;Mapping World History;Charles Cushman Photographs;Wright American Fiction Project;Digital Projects Consulting
Charles Cushman Photographs;Michelle Dalmau
Wright American Fiction Project;Michelle Dalmau
Digital Projects Consulting;Michelle Dalmau;Nick Homeda
Nick Homeda;Wells Library;Digital Projects Consulting;Digital Initiatives;Open Journal System 
Digital Initiatives;Nick Homeda
Open Journal System ;Nick Homeda;Sheyna Pekala
Norbert Herber;Media School
Peter Williams;Fine Arts
Rachael Stoeltje;Wells Library;Moving Image Archive
Rega Wood;Philosophy;Richard Rufus Project
Philosophy;Rega Wood
Richard Rufus Project;Rega Wood
Richard Higgins;Information & Library Science;HASTAC;English;CyberDH;Comic Readership Archive;ADHO Abstracts
Ruth Stone;EVIA
Scot Barnett;English;Digital Rhetorics & Digital Humanities
Scott Weingart;Cyberinfrastructure for Network Science
Sheyna Pekala;Wells Library;Open Journal System 
Stacie King;Anthropology;Glenn Black Lab
Glenn Black Lab;Stacie King
Stasia Milojevic;Information & Library Science;Cascades, Islands, or Streams?
Tassie Gniady;Digital Applications in Archaeology and Cultural Heritage;UITS;HASTAC;CyberDH;English Broadside Ballad Archive;FemTechNet;Wikipedia Edit-a-Thons
English Broadside Ballad Archive;Tassie Gniady
FemTechNet;Tassie Gniady
Wikipedia Edit-a-Thons;Tassie Gniady
Verlon Stone;Liberian Collections
Liberian Collections;Verlon Stone
Vincent Malic;Information & Library Science
Wally Hooper;Catapult Center;Chymistry of Isaac Newton
Will Cowan;EVIA;Wells Library;War of 1812;Oufinopo;Omeka
Oufinopo;Will Cowan
Omeka;Will Cowan
Will Emigh;Media School
Ying Ding;Information & Library Science;Cascades, Islands, or Streams?
